id,smiles,inchikey,mwt,clogp,SMILES,Klebsiella pneumoniae: predicted MIC (µM),Klebsiella pneumoniae: predicted MIC (µg / mL),Klebsiella pneumoniae: log10(variance),Klebsiella pneumoniae: Tanimoto nearest neighbor to training data,pmic
94576117,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2,JHEWMLHQNRHTQX-UHFFFAOYSA-N,456.17841785599995,5.529500000000004,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2,257.423583984375,117.43108130310793,-2.3069345951080322,0.24657534062862396,
64292186,COc1c2ccccc2nc2occc12,WIONIXOBNMDJFJ-UHFFFAOYSA-N,199.063328528,2.989600000000001,COc1c2ccccc2nc2occc12,100.19474792480469,19.945099394085297,-2.1596944332122803,0.2857142984867096,
37688398,O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N,168.993056048,1.7745,O=c1[nH]c2cc(Cl)ccc2o1,287.11285400390625,48.520079958389154,-2.4617977142333984,0.25641027092933655,
58373987,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-UHFFFAOYSA-N,337.1437843399999,1.1235999999999997,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,56.28175354003906,18.975044412689734,-2.652954339981079,0.8363636136054993,
46026658,COC1C(OC(N)=O)C(O)C(Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],WWPRGAYLRGSOSU-UHFFFAOYSA-M,634.21385422,-0.0008799999999988817,COC1C(OC(N)=O)C(O)C(Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],3.243354558944702,2.0569804308697885,-1.6370840072631836,0.20202019810676575,
23508780,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,NSYZCCDSJNWWJL-UHFFFAOYSA-N,861.5085853200001,2.6798000000000073,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,1313.7027587890625,1131.7662594808548,-2.3374695777893066,0.261904776096344,
90105920,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,FTNWXGFYRHWUKG-UHFFFAOYSA-N,388.09878197999996,5.681600000000005,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,261.3774108886719,101.44024832588232,-2.180755853652954,0.296875,
88234565,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,PBBGSZCBWVPOOL-UHFFFAOYSA-N,270.161979944,4.785200000000004,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,251.5821533203125,67.96793059841826,-2.2011935710906982,0.2926829159259796,
94548560,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,WZUVPPKBWHMQCE-UHFFFAOYSA-N,302.079038168,1.3204999999999993,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,260.9901123046875,78.83964231242207,-3.054553985595703,0.190476194024086,
12499591,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1.Cl.Cl,MKSVFGKWZLUTTO-UHFFFAOYSA-N,543.1763724520001,0.04990000000000083,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1.Cl.Cl,85.1441421508789,46.24828905337363,-2.5904433727264404,0.2808988690376282,
30098447,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,250.044150556,3.035600000000001,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,51.329463958740234,12.834632154442849,-3.648454427719116,0.3333333432674408,
13574492,C=CC(C)(O)CCC1C(=C)CC(OC(C)=O)C2C(C)(C)CCCC12C,WCNCDVQMEQJFGH-UHFFFAOYSA-N,348.26644501199996,5.044000000000005,C=CC(C)(O)CCC1C(=C)CC(OC(C)=O)C2C(C)(C)CCCC12C,1480.8668212890625,515.7362124261813,-1.9350217580795288,0.1764705926179886,
66213636,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,IWEQQRMGNVVKQW-UHFFFAOYSA-N,597.2129447919999,4.9665000000000035,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,789.98876953125,471.7915114307133,-2.4080288410186768,0.25,
11149411,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C.O.O.O,XCDIRYDKECHIPE-UHFFFAOYSA-N,861.3782994280002,0.7855000000000025,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C.O.O.O,535.9058837890625,461.6177107430604,-2.4461188316345215,0.19298245012760162,
55723416,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21.Cl,YWKRLOSRDGPEJR-UHFFFAOYSA-N,351.061525968,5.609800000000004,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21.Cl,256.2227783203125,89.94996172107884,-3.2388274669647217,0.21875,
47764434,CCC(C(=O)[O-])C1CCC(C)C(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)C4(CCC(C)(C5CCC(O)(CC)C(C)O5)O4)O3)C(C)CC2C)O1.[Na+],YPZYGIQXBGHDBH-UHFFFAOYSA-M,772.4737573080001,1.8573000000000057,CCC(C(=O)[O-])C1CCC(C)C(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)C4(CCC(C)(C5CCC(O)(CC)C(C)O5)O4)O3)C(C)CC2C)O1.[Na+],650.880615234375,502.7882095111523,-1.9884275197982788,0.14399999380111694,
45826839,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,PYZRQGJRPPTADH-UHFFFAOYSA-N,255.00785058399998,2.0098,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,74.5985336303711,19.023210395429416,-2.677957534790039,0.21153846383094788,
96706685,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5CCC43C)C2C1,PGOYMURMZNDHNS-UHFFFAOYSA-N,472.35526001599993,6.206000000000008,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5CCC43C)C2C1,122.47191619873047,57.85025263821725,-2.42720890045166,0.2750000059604645,
13946057,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N,263.847003052,4.6592,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,988.2034301757812,260.73452289349035,-2.15800404548645,0.20000000298023224,
48778541,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1.O=[N+]([O-])O,NNGQLSIGRSTLLU-UHFFFAOYSA-N,476.98166667999993,6.107100000000003,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1.O=[N+]([O-])O,97.08360290527344,46.30710011414242,-3.4791018962860107,0.6491228342056274,
51908620,CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,AXNVHPCVMSNXNP-UHFFFAOYSA-N,1130.5509036320002,-1.3210999999999875,CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,57.46598434448242,64.96822174170651,-1.6212842464447021,0.16393442451953888,
64266560,CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)[O-])CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1.[Na+],LBFBRXGCXUHRJY-UHFFFAOYSA-M,607.19238694,4.617300000000005,CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)[O-])CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1.[Na+],3.7010669708251953,2.247259744789343,-1.4313400983810425,0.20000000298023224,
92189223,CCC(C)C(=O)OC1CC2(C)C(c3ccoc3)OC(=O)CC23OC2(C)OC34C(OC(C)=O)C3(O)C(OC(=O)C5(C)OC5C)C5(C)CC3(O)C(C)(C5CC(=O)OC)C14O2,HPSILLNWMJOWNM-UHFFFAOYSA-N,816.3204502039999,2.708500000000001,CCC(C)C(=O)OC1CC2(C)C(c3ccoc3)OC(=O)CC23OC2(C)OC34C(OC(C)=O)C3(O)C(OC(=O)C5(C)OC5C)C5(C)CC3(O)C(C)(C5CC(=O)OC)C14O2,62.621971130371094,51.11959756340955,-1.660125970840454,0.15646257996559143,
28775777,COc1cc(O)cc(O)c1C(=O)c1ccccc1,CIKBLPYUSUJOHB-UHFFFAOYSA-N,244.073558864,2.3373999999999997,COc1cc(O)cc(O)c1C(=O)c1ccccc1,263.5710754394531,64.33073237463597,-2.0408129692077637,0.30612245202064514,
43448275,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],FVEFRICMTUKAML-UHFFFAOYSA-M,316.168424688,0.8785000000000007,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],157.4154815673828,49.76980886151515,-2.0911436080932617,0.25,
11569209,Nc1nc2cc(Cl)ccc2o1,YGCODSQDUUUKIV-UHFFFAOYSA-N,168.00904046,2.0633999999999997,Nc1nc2cc(Cl)ccc2o1,81.24010467529297,13.64907169288588,-2.0444676876068115,0.25641027092933655,
72262359,Cc1cc(O)ccc1Cl,CFKMVGJGLGKFKI-UHFFFAOYSA-N,142.018542524,2.3540200000000002,Cc1cc(O)ccc1Cl,207.19969177246094,29.426198372386374,-3.280069351196289,0.2750000059604645,
