id,smiles,inchikey,mwt,clogp,pubchem_name,pubchem_id,scaffold,tpsa,normalized_inhibition,SMILES,mic_method,full_strain_name,pmic
17003419,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(-c3cccnc3)cc2O[C@@H]1CN(C)C(=O)c1ccc2c(c1)OCO2,OLXAFIGJOPTJGQ-LJKQEARRSA-N,553.1882713319999,3.0181000000000013,"n-[[(4r,5s)-2-[(2r)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-8-pyridin-3-yl-4,5-dihydro-3h-6,1lambda6,2-benzoxathiazocin-5-yl]methyl]-n-methyl-1,3-benzodioxole-5-carboxamide",54625482.0,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3cccnc3)cc2O1)c1ccc2c(c1)OCO2,118.5,-0.0995123630000001,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(-c3cccnc3)cc2O[C@@H]1CN(C)C(=O)c1ccc2c(c1)OCO2,Broth microdilution,Staphylococcus aureus,
17434512,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)CC(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)CC2CC2)O3)cc1,UJDQBCQJOGKHTG-VKIDHGPPSA-N,545.255956968,2.9868000000000006,"n-[(2r,3s)-2-[[cyclopropylmethyl(methyl)amino]methyl]-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-4-methoxybenzenesulfonamide",44488635.0,O=C1Cc2cc(NS(=O)(=O)c3ccccc3)ccc2O[C@@H](CNCC2CC2)CCN1,108.41,0.1277855199999999,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)CC(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)CC2CC2)O3)cc1,Broth microdilution,Staphylococcus aureus,
17549310,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc1ccc(Oc3ccccc3)cc1)O2,XSTATDAYTJGYSZ-MEYXWREJSA-N,627.305684032,6.079840000000005,"1-(3,5-dimethyl-1,2-oxazol-4-yl)-3-[(2s,3r)-5-[(2s)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]urea",44491231.0,O=C(Nc1cnoc1)Nc1ccc2c(c1)C(=O)NCC[C@@H](CNCc1ccc(Oc3ccccc3)cc1)O2,129.4,-0.020103098,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc1ccc(Oc3ccccc3)cc1)O2,Broth microdilution,Staphylococcus aureus,
20881398,c1coc(CNC[C@H]2Cn3nncc3CO2)c1,MPUDHGXRWDPTEJ-NSHDSACASA-N,234.111675688,0.5596999999999994,"1-[(6s)-6,7-dihydro-4h-triazolo[5,1-c][1,4]oxazin-6-yl]-n-(furan-2-ylmethyl)methanamine",97383631.0,c1coc(CNC[C@H]2Cn3nncc3CO2)c1,65.11,0.003526581,c1coc(CNC[C@H]2Cn3nncc3CO2)c1,Broth microdilution,Staphylococcus aureus,
21764498,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)CCN3CCOCC3)ccc2O[C@H]1CN(C)S(C)(=O)=O,BYWNQMINTGNSGE-YDHSSHFGSA-N,540.2617706199999,0.3878000000000039,"n-[(2r,3s)-5-[(2s)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(methylsulfonyl)amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-morpholin-4-ylpropanamide",44504641.0,O=C1Cc2cc(NC(=O)CCN3CCOCC3)ccc2OCCCN1,128.72,-0.043086825,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)CCN3CCOCC3)ccc2O[C@H]1CN(C)S(C)(=O)=O,Broth microdilution,Staphylococcus aureus,
22046565,CCCNC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(Cc1ccc(-c3ccccn3)cc1)C[C@@H](C)[C@H](OC)CN(C)C2=O,GFBOARZMZBDAJD-OVMXQCPESA-N,573.331504856,5.286300000000005,"1-[(4r,7r,8s)-8-methoxy-4,7,10-trimethyl-11-oxo-5-[(4-pyridin-2-ylphenyl)methyl]-2-oxa-5,10-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-15-yl]-3-propylurea",54636814.0,O=C1NCCCCN(Cc2ccc(-c3ccccn3)cc2)CCOc2ccccc21,96.03,-0.028216475,CCCNC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(Cc1ccc(-c3ccccn3)cc1)C[C@@H](C)[C@H](OC)CN(C)C2=O,Broth microdilution,Staphylococcus aureus,
22150286,O=C(NC1CCC1)[C@H]1[C@H](CO)[C@H]2Cn3c(cccc3=O)[C@H]2N1CC1CCOCC1,BXCZFVMJUIMWQL-SGLNWRHMSA-N,401.23145647200005,0.9071999999999996,"(2r,3r,3as,9bs)-n-cyclobutyl-3-(hydroxymethyl)-1-(oxan-4-ylmethyl)-6-oxo-3,3a,4,9b-tetrahydro-2h-pyrrolo[2,3-a]indolizine-2-carboxamide",54664702.0,O=C(NC1CCC1)[C@H]1C[C@H]2Cn3c(cccc3=O)[C@H]2N1CC1CCOCC1,83.80000000000001,-0.054982233,O=C(NC1CCC1)[C@H]1[C@H](CO)[C@H]2Cn3c(cccc3=O)[C@H]2N1CC1CCOCC1,Broth microdilution,Staphylococcus aureus,
22492041,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1ccc3c(c1)OCO3)OCCCC[C@@H](C)O2,CUSQONBGSJHOTJ-PCVQZTMDSA-N,708.3482771160001,5.6235400000000055,"3-(1,3-benzodioxol-5-yl)-1-[[(3r,9r,10r)-16-[(3,5-dimethyl-1,2-oxazol-4-yl)carbamoylamino]-12-[(2s)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-1-methylurea",54615907.0,O=C(NC[C@H]1CCNC(=O)c2cc(NC(=O)Nc3cnoc3)ccc2OCCCCCO1)Nc1ccc2c(c1)OCO2,176.95999999999998,-0.071552544,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1ccc3c(c1)OCO3)OCCCC[C@@H](C)O2,Broth microdilution,Staphylococcus aureus,
23220715,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O[C@@H]1CN(C)S(=O)(=O)c1cccs1,NEJFTABTHXHYFG-KHCICDEESA-N,593.1324133319999,3.0897000000000014,"n-[[(2s,3r)-8-(benzenesulfonamido)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-2-yl]methyl]-n-methylthiophene-2-sulfonamide",44492802.0,O=C1NCC[C@@H](CNS(=O)(=O)c2cccs2)Oc2ccc(NS(=O)(=O)c3ccccc3)cc21,133.32,-0.2820341070000001,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O[C@@H]1CN(C)S(=O)(=O)c1cccs1,Broth microdilution,Staphylococcus aureus,
23302542,N=C(N)NCCS,GAPFINWZKMCSBG-UHFFFAOYSA-N,119.05171828799999,-0.60073,2-(diaminomethylideneazaniumyl)ethanethiolate,133678641.0,,61.900000000000006,0.202548138,N=C(N)NCCS,Broth microdilution,Staphylococcus aureus,
24755315,Nc1ncc2[nH]cnc2n1,MWBWWFOAEOYUST-UHFFFAOYSA-N,135.05449516,-0.06490000000000012,2-aminopurine,9955.0,c1ncc2[nH]cnc2n1,80.48,-0.0607842970000001,Nc1ncc2[nH]cnc2n1,Broth microdilution,Staphylococcus aureus,
27068044,COc1ccccc1C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)c1ccc3c(c1)OCO3)O2,MIOBFWIJYZOKSQ-RLCGNTSFSA-N,571.231850396,3.211000000000002,"n-[[(2r,3r)-5-[(2r)-1-hydroxypropan-2-yl]-8-[2-(2-methoxyphenyl)ethynyl]-3-methyl-6-oxo-3,4-dihydro-2h-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-n-methyl-1,3-benzodioxole-5-carboxamide",54618691.0,O=C(NC[C@H]1CCNC(=O)c2cc(C#Cc3ccccc3)cnc2O1)c1ccc2c(c1)OCO2,110.66,-0.1693758789999999,COc1ccccc1C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)c1ccc3c(c1)OCO3)O2,Broth microdilution,Staphylococcus aureus,
30515659,c1csc(Cn2cccc2)c1,DRZFDGBYLWYHMU-UHFFFAOYSA-N,163.045570288,2.5979,1-((thiophen-2-yl)methyl)-1h-pyrrole,2804470.0,c1csc(Cn2cccc2)c1,4.93,-0.1598829779999999,c1csc(Cn2cccc2)c1,Broth microdilution,Staphylococcus aureus,
