id,inchikey,pubchem_name,pubchem_id,smiles,scaffold,mwt,clogp,tpsa,normalized_inhibition,SMILES,mic_method,full_strain_name
SCB-84315577,FIZSQJUFYUFNOD-DOKVQHETSA-N,"1-[(3r,9r,10s)-12-[(2r)-1-hydroxypropan-2-yl]-9-[[(4-methoxyphenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea",44502759.0,COc1ccc(S(=O)(=O)N(C)C[C@@H]2OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C(=O)N([C@H](C)CO)C[C@@H]2C)cc1,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCC[C@H](CNS(=O)(=O)c1ccccc1)OCCCCCO2,696.3192854959999,5.455400000000005,146.74,0.233480542,COc1ccc(S(=O)(=O)N(C)C[C@@H]2OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C(=O)N([C@H](C)CO)C[C@@H]2C)cc1,Broth microdilution,Staphylococcus aureus USA300
SCB-85840241,IKHNOPCXKIAMPI-DVAKJLRASA-N,"n-[(3r,9s,10r)-12-[(2r)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(propyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-1-methyl-4-imidazolesulfonamide",54614960.0,CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C(=O)N([C@H](C)CO)C[C@H]1C,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3c[nH]cn3)cc21,593.3247052239999,3.358200000000002,126.23,-0.0538620869999999,CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C(=O)N([C@H](C)CO)C[C@H]1C,Broth microdilution,Staphylococcus aureus USA300
SCB-86318012,FMAAXSCNYRSPNB-WOVHNISZSA-N,"(2s)-2-[(4s,5r)-8-[3-(dimethylamino)prop-1-ynyl]-5-[[(2-fluorophenyl)methyl-methylamino]methyl]-4-methyl-1,1-dioxo-4,5-dihydro-3h-6,1lambda6,2-benzoxathiazocin-2-yl]propan-1-ol",54626146.0,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#CCN(C)C)cc2O[C@H]1CN(C)Cc1ccccc1F,O=S1(=O)NCC[C@H](CNCc2ccccc2)Oc2ccccc21,517.241055852,2.639400000000001,73.32,-0.083324634,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#CCN(C)C)cc2O[C@H]1CN(C)Cc1ccccc1F,Broth microdilution,Staphylococcus aureus USA300
SCB-87486743,ADAXDGSKYRGXEL-NOMHHCBYSA-N,"1-[[(4s,5s)-2-[(2s)-1-hydroxypropan-2-yl]-4-methyl-8-(2-methylphenyl)-1,1-dioxo-4,5-dihydro-3h-6,1lambda6,2-benzoxathiazocin-5-yl]methyl]-1-methyl-3-[4-(trifluoromethyl)phenyl]urea",54631005.0,Cc1ccccc1-c1ccc2c(c1)O[C@H](CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,605.2171268480001,5.613320000000005,99.18,-0.081827643,Cc1ccccc1-c1ccc2c(c1)O[C@H](CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,Broth microdilution,Staphylococcus aureus USA300
SCB-87590242,ZHUOOEGSSFNTNP-UHFFFAOYSA-N,"methyl 3,12-dihydroxycholan-24-oate",95608.0,COC(=O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,C1CCC2C(C1)CCC1C3CCCC3CCC21,406.30830982399993,4.566300000000005,66.76,0.3269849999999999,COC(=O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,Broth microdilution,Staphylococcus aureus USA300
SCB-87797421,MCLYKCAHKFGNAQ-MJQNYGCISA-N,"4-[[[(3s,9s,10r)-12-[(2s)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-16-[[4-(trifluoromethyl)phenyl]carbamoylamino]-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl-methylamino]methyl]benzoic acid",44616850.0,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(C(=O)O)cc1,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCC[C@@H](CNCc1ccccc1)OCCCCCO2,728.3396845039999,6.975100000000008,140.67000000000002,-0.7573609349999999,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(C(=O)O)cc1,Broth microdilution,Staphylococcus aureus USA300
SCB-88182507,QLGZFZUBHHPYSN-XKCSPQBFSA-N,"2-[(2s,4ar,12as)-5-methyl-8-[(2-methylphenyl)sulfonylamino]-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-2-yl]-n-propylacetamide",54655294.0,CCCNC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4C)cc3C(=O)N2C)O1,O=C1N[C@@H]2CCCO[C@@H]2COc2ccc(NS(=O)(=O)c3ccccc3)cc21,515.2090067759999,3.09272,114.04,0.0234291709999999,CCCNC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4C)cc3C(=O)N2C)O1,Broth microdilution,Staphylococcus aureus USA300
SCB-88327937,AIDNMMLWUKBAII-SELNLUPBSA-N,"n-[(2s,3r)-5-[(2s)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(pyridin-4-ylmethyl)amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-10-yl]thiophene-2-sulfonamide",44499383.0,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NS(=O)(=O)c3cccs3)c2O[C@@H]1CN(C)Cc1ccncc1,O=C1NCC[C@@H](CNCc2ccncc2)Oc2c(NS(=O)(=O)c3cccs3)cccc21,544.1814121240001,3.296000000000002,112.07,-0.065105452,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NS(=O)(=O)c3cccs3)c2O[C@@H]1CN(C)Cc1ccncc1,Broth microdilution,Staphylococcus aureus USA300
SCB-90589766,NGQWJSWNKYCNNZ-LJAQVGFWSA-N,,,O=P(/N=C1/CC(CCCO)=C[C@@H](C2CC2)N1Cc1cccc(OC(F)(F)F)c1)(Oc1ccccc1)Oc1ccccc1,O=P(/N=C1/CC=C[C@@H](C2CC2)N1Cc1ccccc1)(Oc1ccccc1)Oc1ccccc1,600.200093414,7.933000000000008,80.59,0.874893326,O=P(/N=C1/CC(CCCO)=C[C@@H](C2CC2)N1Cc1cccc(OC(F)(F)F)c1)(Oc1ccccc1)Oc1ccccc1,Broth microdilution,Staphylococcus aureus USA300
SCB-90625532,CDAYNQARGBNMSE-POAQFYNOSA-N,"2-[(2r,4ar,12ar)-8-(methanesulfonamido)-5-methyl-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-2-yl]-n-[3-(dimethylamino)propyl]acetamide",54654061.0,CN(C)CCCNC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NS(C)(=O)=O)cc3C(=O)N2C)O1,O=C1N[C@@H]2CCCO[C@H]2COc2ccccc21,482.2199058079999,0.8967000000000025,117.28000000000002,-0.0207640909999999,CN(C)CCCNC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NS(C)(=O)=O)cc3C(=O)N2C)O1,Broth microdilution,Staphylococcus aureus USA300
