Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K45779550,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)S(=O)(=O)c1ccc(cc1)F)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.643720173,1.071147985,0.98160741,1.047856876,10445977
BRD-K04638725,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)C(=O)Nc1ccccc1N)NC(=O)Nc1c(noc1C)C,1.095612484,1.113708917,1.070180265,1.039859197,10457201
BRD-K89209067,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)Cc1ccc(c(c1)Cl)Cl)NC(=O)Cc1cn(c2ccccc12)C,1.117312084,0.94283532,1.024175786,0.850666159,10468523
BRD-K32368436,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)S(=O)(=O)C)NC(=O)Nc1ccccc1,1.086938138,1.011849701,1.029407539,0.922890674,10468579
BRD-K35221502,C[C@H]1CCCCO[C@H](CN(C)CC2CCCCC2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)CCC(F)(F)F,0.97736112,0.992387774,0.991532818,1.010370353,10496672
BRD-K49181434,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)c1cn(cn1)C)NC(=O)C1CCCCC1,0.991492339,0.944619755,1.014751755,1.098344682,10496694
BRD-K08823645,C[C@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)Cc1ccc(cc1)Oc1ccccc1)NC(=O)C1CCOCC1,1.180655357,0.966514458,1.058996666,0.921249277,10500310
BRD-K60486924,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1cccs1)NS(=O)(=O)c1ccc(cc1)F,1.194848404,0.983833956,1.007822359,0.952060703,10503133
BRD-K47278610,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)CC1CCCCC1)NC(=O)CCCCCC(=O)Nc1ccccc1N,1.037400242,0.840679309,0.944152821,0.890173483,10526009
BRD-K94478355,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(cnc2O[C@@H]1CN(C)Cc1ccc(cc1)Oc1ccccc1)-c1cccnc1,0.987736467,0.970738478,0.992428221,1.003804712,10532661
BRD-K93080113,O=C(NCc1ccccn1)[C@@]12CNC[C@H]2COC1,1.096940141,1.019366178,1.006560173,1.024482155,10533809
BRD-K74670398,N[C@H](CCC(=O)N)C(=O)O,0.956157534,1.025524395,1.040858249,1.004503811,10548703
BRD-K23622991,CCNC(=O)C[C@H]1O[C@@H](CO)[C@@H](NC(=O)C2CC2)C=C1,0.930384032,1.04480887,0.986387937,0.993467083,10556309
BRD-K12861366,COc1ccc2c(c1)C(=O)NC(=O)N2,0.131624691,0.663448667,0.932634206,0.427750981,10558177
BRD-A61339798,CC(C)C[C@H]1NC(=O)[C@@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O)C(C)C,0.130712993,0.330120713,0.549593899,0.281446011,10569477
BRD-A70805467,CC1=C(C(=O)NC(=O)N1)S(=O)(=O)N1CCC[C@@H](C1)C(=O)NCCc1c[nH]c2ccc(cc12)F,0.981897844,0.956395266,0.997394914,0.967753288,10594233
BRD-K57152477,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)C(=O)Nc1ccc2c(c1)OCO2)NC(=O)C1CC1,0.929459198,0.984571029,0.99686095,1.006654075,10618778
BRD-K36654803,COc1ccc(cc1)CN(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NC(=O)C1CCCCC1,1.117422403,0.993943848,0.99814737,0.990821555,10626581
BRD-K21449889,CC1=C(CCC(=O)O)C(=O)NC(=O)N1,0.903607337,1.059846883,0.984495396,0.940559747,10628707
