Name,SMILES,Mean,id
BRD-K43391255,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccccn3)cc2O[C@@H]1CN(C)Cc1ccccc1,0.952079823,10926469
NOCODAZOLE,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,0.97111,10947089
BRD-K28099217,CCN1CCN(C(=O)/C=C\C(=O)O)CC1,1.074998941,10952487
BRD-K41880142,COc1cccc(S(=O)(=O)N(C)C[C@H]2OCc3cnnn3CCCC(=O)N([C@H](C)CO)C[C@@H]2C)c1,1.156037261,10953299
BRD-K24077197,C=CCC[C@H](Cc1ccc(F)cc1)C(=O)O[C@@H](CNC(=O)[C@@H](CC=C)CC(=O)N(CCO)Cc1ccccc1)c1ccccc1,1.458684052,10956417
BRD-A06401864,CCOC(=O)[C@H]1CC(CC2OCCO2)=NO1,1.020809494,10965375
BRD-K59012600,Cc1ccc(S(=O)(=O)N[C@@H]2CC[C@@H](CCNC(=O)CN3CCOCC3)O[C@H]2CO)cc1,1.158856084,10987003
BRD-K94280521,COC(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/c3ccccc3)[C@@H](O)[C@H](O)[C@H]2O)C1,1.065263779,11005026
DETOMIDINE HYDROCHLORIDE,Cc1cccc(Cc2c[nH]cn2)c1C.Cl,0.84639,11012594
BRD-K48354856,c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,1.035725406,11018192
BRD-A43150328,C=C(C)[C@]1(O)OC(=O)C=C1OC,0.951276982,11020944
BRD-K63299611,O=C(C[C@@H]1C=C[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)NCCc1ccncc1,0.966801979,11028899
BRD-K86431655,C[C@H](O)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Nc1ccccc1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0.905903879,11046065
PHLORETIN,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,1.1611,11063944
BRD-K84710925,C=c1ccc(S(=O)(=O)N2CCCC2)cc1=C1NN=C2c3ccccc3C(C)=NN21,1.013910368,11071265
BRD-K61122318,N#CCSc1ncnc2c1cnn2CCO,1.165646032,11074540
BRD-K11715228,C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O1,0.831600933,11082128
BRD-A94381689,COC(=O)[C@H]1O[C@@H]2C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OC)[C@H]3O[C@@]2(O)[C@@H](O)[C@@H]1O,1.073203725,11085223
BRD-K04972048,COc1ccc(NC(=O)N2C[C@H](O)COC[C@H]3O[C@@H](CC(=O)NCc4ccccc4OC)CC[C@@H]32)cc1,0.952707291,11090555
beta-AMYRIN,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1,0.90136,11092199
SUBERIC ACID,O=C(O)CCCCCCC(=O)O,0.99973,11128685
BRD-A87658493,O=C(NC[C@@H](O)CO)[C@]1(Cc2ccccc2)N=C(c2ccc(OCCCO)cc2)O[C@@H]1c1ccccc1,0.718498854,11140526
BRD-K28910494,NCCCCCCNC(=O)[C@@H]1C[C@@H]2C(=O)N[C@@H](CCCCN)C(=O)N2[C@@H]1c1ccc(O)cc1,0.849581261,11146280
BRD-K30756370,O=C(C[C@@H]1C=C[C@H](NC(=O)C2CC2)[C@H](CO)O1)NCCCN1CCOCC1,1.058390154,11149848
BRD-K38828664,Cc1ccc(S[C@]2(C(=O)O)CC(=O)N(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccc(CO)cc2)cc1,0.92489014,11156153
BRD-K64477859,CN1C(=O)c2cc(NC(=O)c3cscn3)ccc2OC[C@@H]2O[C@@H](CC(=O)N3CCOCC3)CC[C@H]21,0.891684718,11177011
RAMELTEON,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,1.4369,11198247
BRD-K12513087,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cnccn2)Oc2cc(C#CCC3CCCC3)ccc2S1(=O)=O,0.670419563,11210127
BRD-K75623377,Cc1ccc(S(=O)(=O)N(C)C[C@@H]2Oc3ncc(-c4ccncc4)cc3C(=O)N([C@H](C)CO)C[C@H]2C)cc1,0.99536881,11213659
CHRYSIN DIMETHYL ETHER,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,1.09518,11221748
BRD-A58151853,Cn1cccc1[C@@H](CN)N1CCc2ccccc2C1,0.925912948,11237489
BRD-K33509561,COc1ccccc1-c1ccc2c(c1)O[C@H](CN(C)S(=O)(=O)c1ccccc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1.172211597,11238332
BRD-K41736552,O=C(O)C[C@H]1CC[C@@H]2NC[C@H](O)COC[C@H]2O1,0.931302986,11264392
BRD-K08107656,Cc1noc(C)c1NC(=O)N(C)C[C@H]1Oc2ncc(C#CCN(C)C)cc2C(=O)N([C@H](C)CO)C[C@@H]1C,1.129649736,11276935
BRD-K80684056,C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1,1.096611841,11288785
OXYCLOZANIDE,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,0.6813,11341486
BRD-K11428617,O=C(C[C@H]1C=C[C@@H](NC(=O)Cc2ccccn2)[C@H](CO)O1)NCCCN1CCOCC1,1.046140786,11360587
BRD-K12117129,Cc1ccc(S(=O)(=O)N2C[C@H](O)COC[C@@H]3O[C@@H](CC(=O)N[C@H]4CCN(Cc5ccccc5)C4)CC[C@H]32)cc1,0.960129667,11374335
"ABSCISIC ACID (cis,trans; +/-)",CC1=CC(=O)CC(C)(C)C1(O)/C=C/C(C)=C\C(=O)O,1.08628,11383243
BRD-A19645253,CN1CCc2cc([C@H](CN)N(C)C)ccc21,0.991048414,11383892
BRD-K20875709,CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1cnccn1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0.905167075,11395468
BRD-K80745893,O=C(CCCCCCC(=O)Nc1ccccc1O)N/N=C/[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,1.01782503,11464335
DIFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,1.2595,11489131
BRD-K15301067,CN1C(=O)/C(=C\NCc2ccccc2)C(=O)c2c1n(C)c(=O)n(C)c2=O,1.000270828,11497054
IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.997065,11499288
PERINDOPRILAT,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,1.064375,11526898
GUANFACINE HYDROCHLORIDE,Cl.NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,0.81857,11562766
ARTEPAULIN,CC1C(=O)O[C@H]2C1CCC1(C)CCC(=O)[C@@H](C)[C@H]21,0.945835,11564088
BRD-A28408499,C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CN,0.982941071,11616796
XANTHURENIC ACID,O=C(O)c1cc(O)c2cccc(O)c2n1,0.89469,11636623
MUPIROCIN,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,0.96885,11723572
ITRACONAZOLE HYDROCHLORIDE,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O.Cl.Cl,1.39355,12363263
BRD-K01890082,COC(=O)c1cc(=O)[nH]c2c1c(=O)n(C)c(=O)n2C,1.138164247,12479119
METHYL EUDESMATE,COC(=O)c1cc(OC)c(OC)c(OC)c1,0.94375,12597837
METHYLENE BLUE,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.O.[Cl-],1.17535,12618018
BRD-K01082603,CCCN(C)C[C@H]1Oc2cc(C#Cc3ccccc3OC)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@H]1C,0.964397324,12690948
BRD-K94936075,CC(C)(CO)NC(=O)C(=O)NC1CC1,1.042484817,12806382
