Compound_ID,SMILES,Sau_R1_10uM,Sau_R2_10uM,Sau_Mean_10uM,HepG2_R1_10uM,HepG2_R2_10uM,HepG2_Mean_10uM,HSkMC_R1_10uM,HSkMC_R2_10uM,HSkMC_Mean_10uM,IMR90_R1_10uM,IMR90_R2_10uM,IMR90_Mean_10uM,Eco_stokes20_Mean,Abau_liu23_Mean
BRD-K99946902,CCCCCCc1ccc(cc1O)O,0.10662439,0.105840128,0.106232259,0.951162827,0.962190651,0.956676739,0.790340066,0.883662785,0.837001425,0.517484836,0.800108111,0.658796474,,
BRD-K88043978,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0.109057628,0.104096541,0.106577085,1.0302458,1.049165011,1.039705405,1.002849397,1.001017366,1.001933381,0.955712002,0.90732942,0.931520711,,
BRD-K71315776,CC(=O)O[Cd]OC(=O)C,0.103456425,0.109859313,0.106657869,0.947101416,0.977799482,0.962450449,1.018336264,1.006345991,1.012341128,1.07124386,1.120521016,1.095882438,,
BRD-K74481325,C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2nncc2CO[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F,0.101767514,0.111633655,0.106700585,1.015725574,1.02118928,1.018457427,0.999191999,1.005630336,1.002411168,1.024574302,1.021838607,1.023206455,,
BRD-A40787240,CO/N=C/1\CN(C[C@@H]1CN)c1nc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,0.108836799,0.104915029,0.106875914,0.97650166,0.970482773,0.973492217,0.99659519,0.994347572,0.995471381,0.991660506,1.026792454,1.00922648,,
BRD-K71289571,COc1cc(ccc1Cc1cn(c2ccc(cc12)NC(=O)OC1CCCC1)C)C(=O)NS(=O)(=O)c1ccccc1C,0.109250309,0.10568884,0.107469575,1.032474301,1.045893165,1.039183733,1.033385589,1.024765898,1.029075743,1.040522947,1.0139651,1.027244024,,
BRD-K47926873,CO[C@H](CN(C)C(=O)C1CCOCC1)[C@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.113616583,0.101330035,0.107473309,0.974766895,0.97043988,0.972603388,0.989015504,0.966865026,0.977940265,1.075042822,1.048648061,1.061845442,,
BRD-K79092138,NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],0.108774075,0.106681799,0.107727937,1.002704197,1.040298952,1.021501575,0.970464641,1.053637327,1.012050984,0.971108164,0.944730332,0.957919248,,
BRD-K60682860,O[C@@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)C(=O)Nc1ccc(c(c1)Cl)Cl)CC(=O)NCc1ccncc1,0.100571946,0.114901435,0.10773669,1.061405795,1.061998063,1.061701929,0.975742708,0.977876521,0.976809615,1.023780934,1.047822523,1.035801729,,
BRD-K42767609,CCN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c1cccnc1,0.110900464,0.104896616,0.10789854,0.073061647,0.073225045,0.073143346,0.254484918,0.202201486,0.228343202,1.055338614,1.002256589,1.028797602,,
